DATE TIME,flow_cfs,GroupName,Statistic,StatFlag
2000-04-16,311.75595567491666,MCC,0.1,CV
2000-04-17,307.99511525549747,MCC,0.1,CV
2000-04-18,418.61888647703336,MCC,0.1,CV
2000-04-19,356.03566093658293,MCC,0.1,CV
2000-04-20,306.4822400818622,MCC,0.1,CV
2000-04-21,287.58307036943734,MCC,0.1,CV
2000-04-22,273.6634270005829,MCC,0.1,CV
2000-04-23,266.5541708949316,MCC,0.1,CV
2000-04-24,258.9091727464984,MCC,0.1,CV
2000-04-25,250.29098416588343,MCC,0.1,CV
2000-04-26,241.37186380085393,MCC,0.1,CV
2000-04-27,236.53832945342057,MCC,0.1,CV
2000-04-28,235.2884608009177,MCC,0.1,CV
2000-04-29,236.09451243084197,MCC,0.1,CV
2000-04-30,229.04336684381514,MCC,0.1,CV
2000-05-01,222.36267717613774,MCC,0.1,CV
2000-05-02,222.903722624724,MCC,0.1,CV
2000-05-03,215.60544906433168,MCC,0.1,CV
2000-05-04,212.0918459732956,MCC,0.1,CV
2000-05-05,206.89518600503513,MCC,0.1,CV
2000-05-06,203.43378342334947,MCC,0.1,CV
2000-05-07,209.2029009931758,MCC,0.1,CV
2000-05-08,285.3512887426012,MCC,0.1,CV
2000-05-09,446.84556792437866,MCC,0.1,CV
2000-05-10,340.0151442203937,MCC,0.1,CV
2000-05-11,295.51019942394373,MCC,0.1,CV
2000-05-12,268.42320251711936,MCC,0.1,CV
2000-05-13,248.09480097956427,MCC,0.1,CV
2000-05-14,236.4743731940759,MCC,0.1,CV
2000-05-15,235.5428150796374,MCC,0.1,CV
2000-05-16,341.75123617354586,MCC,0.1,CV
2000-05-17,363.64591494325964,MCC,0.1,CV
2000-05-18,315.16767535713797,MCC,0.1,CV
2000-05-19,287.1781769138704,MCC,0.1,CV
2000-05-20,269.2340730012745,MCC,0.1,CV
2000-05-21,255.4062215397947,MCC,0.1,CV
2000-05-22,242.49012293750658,MCC,0.1,CV
2000-05-23,231.85717529343734,MCC,0.1,CV
2000-05-24,220.1160693952667,MCC,0.1,CV
2000-05-25,212.26205408877252,MCC,0.1,CV
2000-05-26,207.329074080992,MCC,0.1,CV
2000-05-27,202.8352884713089,MCC,0.1,CV
2000-05-28,195.36744490903666,MCC,0.1,CV
2000-05-29,187.95817919095114,MCC,0.1,CV
2000-05-30,182.9777169294948,MCC,0.1,CV
2000-05-31,181.33903096731473,MCC,0.1,CV
2000-06-01,180.47740314681744,MCC,0.1,CV
2000-06-02,180.2038522998103,MCC,0.1,CV
2000-06-03,180.2038522998103,MCC,0.1,CV
2000-06-04,180.20385229981034,MCC,0.1,CV
2000-06-05,179.6342230399172,MCC,0.1,CV
2000-06-06,179.54877865093323,MCC,0.1,CV
2000-06-07,179.54877865093326,MCC,0.1,CV
2000-06-08,179.54877865093326,MCC,0.1,CV
2000-06-09,179.54877865093323,MCC,0.1,CV
2000-06-10,179.54877865093326,MCC,0.1,CV
2000-06-11,179.54877865093326,MCC,0.1,CV
2000-06-12,153.43815704841046,MCC,0.1,CV
2000-06-13,131.01314096654392,MCC,0.1,CV
2000-06-14,130.96229423880607,MCC,0.1,CV
2000-06-15,129.1513848118198,MCC,0.1,CV
2000-06-16,122.73796903723306,MCC,0.1,CV
2000-06-17,118.87724553961301,MCC,0.1,CV
2000-06-18,116.19755610335353,MCC,0.1,CV
2000-06-19,115.7580948111697,MCC,0.1,CV
2000-06-20,114.72404353617442,MCC,0.1,CV
2000-06-21,113.34506328436225,MCC,0.1,CV
2000-06-22,109.30231024949163,MCC,0.1,CV
2000-06-23,112.34253548258916,MCC,0.1,CV
2000-06-24,111.09352794857415,MCC,0.1,CV
2000-06-25,113.16628936947332,MCC,0.1,CV
2000-06-26,110.4748701329624,MCC,0.1,CV
2000-06-27,108.64511097130212,MCC,0.1,CV
2000-06-28,106.25155606345196,MCC,0.1,CV
2000-06-29,104.69209892621798,MCC,0.1,CV
2000-06-30,103.1849397832763,MCC,0.1,CV
2000-07-01,103.99057281459869,MCC,0.1,CV
2000-07-02,105.32090064216526,MCC,0.1,CV
2000-07-03,101.54505136067301,MCC,0.1,CV
2000-07-04,97.85684285554845,MCC,0.1,CV
2000-07-05,98.3001491736846,MCC,0.1,CV
2000-07-06,97.89278649755028,MCC,0.1,CV
2000-07-07,97.97036394590573,MCC,0.1,CV
2000-07-08,99.7598566642156,MCC,0.1,CV
2000-07-09,101.13257845080297,MCC,0.1,CV
2000-07-10,99.64141338186785,MCC,0.1,CV
2000-07-11,97.73614893047727,MCC,0.1,CV
2000-07-12,96.50294991864665,MCC,0.1,CV
2000-07-13,95.90521984354274,MCC,0.1,CV
2000-07-14,95.68160543065562,MCC,0.1,CV
2000-07-15,95.68160543065562,MCC,0.1,CV
2000-07-16,95.88822395937791,MCC,0.1,CV
