Lithology,Zone,K_m_s,Ss,Sy
Gravel,1,.00400000000000000,2.0000000000000E-5,.25000000000000000
Sand,2,.00150000000000000,8.0000000000000E-5,.20000000000000001
Sandy Mud,3,2.5000000000000E-4,2.0000000000000E-4,.14999999999999999
Mud,4,6.5000000000000E-6,5.0000000000000E-4,.10000000000000001
Laguna,5,.00273502900492184,1.0000000000000E-5,.14999999999999999
Mehrten,6,3.1910535011498E-5,1.0000000000000E-4,.10000000000000001
