"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -5.36060333252E-01   1.78129994869E+00  N10161.00007
  -4.06970787048E+00   5.15900015831E-01  N10161.00008
  -6.28783035278E+00  -7.17700004578E-01  N10161.00009
  -7.12292766571E+00  -1.04709994793E+00  N10161.00010
  -7.37144660950E+00  -1.09920001030E+00  N10161.00011
  -6.76524519920E-01  -3.71499985456E-01  N10161.00012
   6.20564889908E+00   1.48500001431E+00  N10161.00013
   1.15163917542E+01   5.81599998474E+00  N10161.00014
   1.49516544342E+01   6.52430009842E+00  N10161.00015
   1.34686536789E+01   6.24840021133E+00  N10161.00016
   8.86324596405E+00   5.53210020065E+00  N10161.00017
   1.21986484528E+01  -5.68700015545E-01  N11084.00001
   1.21623754501E+01  -1.15000002086E-01  N11084.00002
   1.17436952591E+01   5.92800021172E-01  N11084.00003
   1.13792448044E+01   2.32240009308E+00  N11084.00004
   7.54997158051E+00   2.16129994392E+00  N11084.00005
   3.83925938606E+00   1.36909997463E+00  N11084.00006
  -2.67753094435E-01   4.58099991083E-01  N11084.00007
  -3.81589603424E+00  -3.10299992561E-01  N11084.00008
  -6.07800006866E+00  -1.20150005817E+00  N11084.00009
  -6.94941473007E+00  -1.72839999199E+00  N11084.00010
  -7.23667907715E+00  -1.75559997559E+00  N11084.00011
  -6.63262903690E-01  -1.38940000534E+00  N11084.00012
   6.23578834534E+00  -7.79299974442E-01  N11084.00013
   1.21192665100E+01   9.76400017738E-01  N11084.00014
   1.59493465424E+01   3.15969991684E+00  N11084.00015
   1.43609018326E+01   3.21919989586E+00  N11084.00016
   9.50708770752E+00   2.77069997787E+00  N11084.00017
   9.81434345245E+00   2.53229999542E+00  N11084.00018
   5.37425708771E+00   1.62750005722E+00  N11084.00019
   1.35130035877E+00   5.72099983692E-01  N11084.00020
  -1.84290277958E+00   2.82499998808E-01  N11084.00021
   1.13814277649E+01   2.06349992752E+00  N11078.00001
   1.14905929565E+01   2.25819993019E+00  N11078.00002
   1.11022081375E+01   2.52069997787E+00  N11078.00003
   1.07475709915E+01   5.54820013046E+00  N11078.00004
  -6.28231465816E-01   1.61240005493E+00  N11078.00005
  -4.16852188110E+00   1.80000007153E-01  N11078.00006
  -6.42433547974E+00  -3.95099997520E-01  N11078.00007
  -7.28064155579E+00  -6.26999974251E-01  N11078.00008
  -7.54200887680E+00  -6.20299994946E-01  N11078.00009
  -1.07589864731E+00   3.49400013685E-01  N11078.00010
   5.59118890762E+00   2.19460010529E+00  N11078.00011
   1.13485660553E+01   5.66069984436E+00  N11078.00012
   1.51037225723E+01   6.13789987564E+00  N11078.00013
   1.36549253464E+01   5.69019985199E+00  N11078.00014
   8.93574142456E+00   4.98449993134E+00  N11078.00015
   9.15699005127E+00   4.98610019684E+00  N11078.00016
   1.22414827347E+01   2.24699997902E+00  N10165.00001
   1.21376342773E+01   2.34789991379E+00  N10165.00002
   1.17815532684E+01   4.42740011215E+00  N10165.00003
   1.16084260941E+01   5.29370021820E+00  N10165.00004
  -2.61134773493E-01   2.26900005341E+00  N10165.00005
  -3.79625296593E+00   7.14299976826E-01  N10165.00006
  -6.01655578613E+00  -1.94600000978E-01  N10165.00007
  -6.85895395279E+00  -5.85300028324E-01  N10165.00008
  -7.12580204010E+00  -6.53699994087E-01  N10165.00009
  -3.63922178745E-01   2.46800005436E-01  N10165.00010
   6.60684394836E+00   1.50109994411E+00  N10165.00011
   1.19084014893E+01   4.57530021667E+00  N10165.00012
   1.53436727524E+01   6.12890005112E+00  N10165.00013
   1.38114156723E+01   5.98740005493E+00  N10165.00014
   9.20944118500E+00   5.40380001068E+00  N10165.00015
   1.12077341080E+01  -8.79999995232E-02  N10383.00001
   1.12003135681E+01   2.63599991798E-01  N10383.00002
   1.09043598175E+01   1.89199995995E+00  N10383.00003
   1.06728992462E+01   4.05709981918E+00  N10383.00004
   6.75844478607E+00   2.67729997635E+00  N10383.00005
   3.02610230446E+00   1.63469994068E+00  N10383.00006
  -9.67222750187E-01   7.86800026894E-01  N10383.00007
  -4.49328756332E+00   1.74300000072E-01  N10383.00008
  -6.72582244873E+00  -2.81399995089E-01  N10383.00009
  -7.56099796295E+00  -5.29799997807E-01  N10383.00010
  -7.79301118851E+00  -6.89400017262E-01  N10383.00011
  -1.32839524746E+00  -7.16799974442E-01  N10383.00012
   5.39774370193E+00   8.04999992251E-02  N10383.00013
   1.08973512650E+01   4.11059999466E+00  N10383.00014
   1.44629850388E+01   4.95100021362E+00  N10383.00015
   1.30632038116E+01   4.70109987259E+00  N10383.00016
   8.37640476227E+00   3.66330003738E+00  N10383.00017
   8.65067672729E+00   3.03080010414E+00  N10383.00018
   4.34303855896E+00   1.82729995251E+00  N10383.00019
   5.84108352661E-01   9.49699997902E-01  N10383.00020
  -2.49120521545E+00   6.01199984550E-01  N10383.00021
   3.08419303894E+01   6.91580009460E+00  N10746.00001
   3.14468460083E+01   7.08500003815E+00  N10746.00002
   3.24747161865E+01   7.50299978256E+00  N10746.00003
   2.90109100342E+01   6.08729982376E+00  N10746.00004
   2.68608589172E+01   4.67600011826E+00  N10746.00005
   2.50401592255E+01   5.36320018768E+00  N10746.00006
   2.37521305084E+01   5.32089996338E+00  N10746.00007
   2.31088085175E+01   5.70090007782E+00  N10746.00008
   2.28118247986E+01   6.07919979095E+00  N10746.00009
   2.22774600983E+01   6.07390022278E+00  N10746.00010
   2.55505523682E+01   6.94460010529E+00  N10746.00011
   2.83540592194E+01   7.15280008316E+00  N10746.00012
   3.15619869232E+01   7.45720005035E+00  N10746.00013
   3.40498771667E+01   8.05160045624E+00  N10746.00014
   3.17226543427E+01   8.42220020294E+00  N10746.00015
   2.84550437927E+01   8.29049968719E+00  N10746.00016
   2.95920963287E+01   7.18970012665E+00  N10746.00017
   2.67346858978E+01   6.46929979324E+00  N10746.00018
   2.50215110779E+01   6.04180002213E+00  N10746.00019
   2.41186504364E+01   7.60200023651E+00  N10746.00020
