"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   3.34099769592E+00  -4.48169994354E+00  N6085.00007 
   1.64483892918E+00  -4.63409996033E+00  N6085.00008 
   3.89129370451E-02  -4.63409996033E+00  N6085.00009 
  -7.80265629292E-01  -4.96950006485E+00  N6085.00010 
   4.65894842148E+00  -4.26830005646E+00  N6085.00011 
   1.63413066864E+01  -3.75000000000E+00  N6085.00012 
   1.91069812775E+01  -3.29270005226E+00  N6085.00013 
   1.83855781555E+01  -2.53049993515E+00  N6085.00014 
   1.33989324570E+01  -2.46950006485E+00  N6085.00015 
   1.52550954819E+01  -2.77439999580E+00  N6085.00016 
   1.22477903366E+01  -2.89630007744E+00  N6085.00017 
   7.69480276108E+00  -3.35369992256E+00  N6085.00018 
   4.77018308640E+00  -3.68899989128E+00  N6085.00019 
   3.89018177986E+00  -3.07929992676E+00  N6085.00020 
   3.48593378067E+00  -3.32319998741E+00  N6085.00021 
   9.46499633789E+00  -3.07929992676E+00  N6085.00022 
   3.44437675476E+01   1.22866001129E+01  N11218.00001
   3.95418624878E+01   1.23170995712E+01  N11218.00002
   3.74596786499E+01   1.24390001297E+01  N11218.00003
   3.82840080261E+01   1.25000000000E+01  N11218.00004
   4.01313514709E+01   1.27743997574E+01  N11218.00005
   3.58663711548E+01   1.25000000000E+01  N11218.00006
   3.21305885315E+01   1.07926998138E+01  N11218.00007
   2.90176677704E+01   1.09450998306E+01  N11218.00008
   2.82709102631E+01   1.16159000397E+01  N11218.00009
   2.78358783722E+01   1.15549001694E+01  N11218.00010
   3.27098808289E+01   1.20732002258E+01  N11218.00011
   3.84990425110E+01   1.25609998703E+01  N11218.00012
   4.20579986572E+01   1.29267997742E+01  N11218.00013
   4.05488700867E+01   1.34756002426E+01  N11218.00014
   3.53567543030E+01   1.34450998306E+01  N11218.00015
   3.74751815796E+01   1.29877996445E+01  N11218.00016
   3.40307006836E+01   1.27439002991E+01  N11218.00017
   3.13210811615E+01   1.23475999832E+01  N11218.00018
   3.00592193604E+01   1.22866001129E+01  N11218.00019
   2.99027462006E+01   1.27743997574E+01  N11218.00020
   2.92220134735E+01   1.27133998871E+01  N11218.00021
   3.46572723389E+01   1.29877996445E+01  N11218.00022
   3.00536689758E+01  -1.04569995403E+00  N15343.00001
   3.45534210205E+01  -1.13719999790E+00  N15343.00002
   3.42032699585E+01  -9.54299986362E-01  N15343.00003
   3.30256309509E+01  -8.93299996853E-01  N15343.00004
   3.53407402039E+01  -7.40899980068E-01  N15343.00005
   3.21079025269E+01  -1.04569995403E+00  N15343.00006
   2.80743427277E+01  -1.53349995613E+00  N15343.00007
   2.52114505768E+01  -1.86889994144E+00  N15343.00008
   2.41626834869E+01  -1.96039998531E+00  N15343.00009
   2.28811588287E+01  -1.89939999580E+00  N15343.00010
   2.19791717529E+01  -1.71650004387E+00  N15343.00011
   2.46447601318E+01  -1.35060000420E+00  N15343.00012
   3.29115524292E+01  -7.40899980068E-01  N15343.00013
   3.64707260132E+01  -7.40899980068E-01  N15343.00014
   3.73046875000E+01  -6.49399995804E-01  N15343.00015
   3.33239593506E+01  -8.01800012589E-01  N15343.00016
   3.52622146606E+01  -1.04569995403E+00  N15343.00017
   3.25213584900E+01  -1.25909996033E+00  N15343.00018
   2.87921142578E+01  -1.56400001049E+00  N15343.00019
   2.57745304108E+01   4.68599987030E+00  N15343.00020
   2.45325260162E+01  -1.38110005856E+00  N15343.00021
   2.77354011536E+01  -9.23799991608E-01  N15343.00022
   2.00873107910E+01  -7.82009983063E+00  N14626.00001
   2.34225215912E+01  -7.48479986191E+00  N14626.00002
   2.16167907715E+01  -7.24090003967E+00  N14626.00003
   1.74266910553E+01  -7.91160011292E+00  N14626.00004
   1.16431570053E+01  -8.64330005646E+00  N14626.00005
   9.80151367188E+00  -8.64330005646E+00  N14626.00006
   8.56456947327E+00  -8.61279964447E+00  N14626.00007
   1.10549468994E+01  -8.00300025940E+00  N14626.00008
   2.21493263245E+01  -7.54570007324E+00  N14626.00009
   2.59248065948E+01  -7.30179977417E+00  N14626.00010
   2.73181838989E+01  -7.02740001678E+00  N14626.00011
   2.38050765991E+01  -7.08839988708E+00  N14626.00012
   2.48575782776E+01  -7.17990016937E+00  N14626.00013
   2.22287006378E+01  -7.57620000839E+00  N14626.00014
   1.50386123657E+01  -8.46039962769E+00  N14626.00015
   2.03096747398E+00  -2.82929992676E+00  N946.00001  
   7.52159643173E+00  -2.46339988708E+00  N946.00002  
   9.15359401703E+00  -2.12800002098E+00  N946.00003  
  -1.36986494064E-01  -5.05490016937E+00  N946.00004  
  -4.13117170334E+00  -6.30490016937E+00  N946.00005  
  -6.45865011215E+00  -6.60979986191E+00  N946.00006  
  -8.16628742218E+00  -6.39629983902E+00  N946.00007  
  -8.71993827820E+00  -4.53660011292E+00  N946.00008  
  -6.11233806610E+00  -3.74390006065E+00  N946.00009  
  -5.54467082024E-01  -3.50000000000E+00  N946.00010  
   4.10610914230E+00  -3.19510006905E+00  N946.00011  
   7.44870519638E+00  -1.64020001888E+00  N946.00012  
   5.63502740860E+00  -1.18289995193E+00  N946.00013  
   2.71947002411E+00  -1.57930004597E+00  N946.00014  
   3.39717793465E+00  -4.23169994354E+00  N946.00015  
  -6.09829008579E-01  -4.62799978256E+00  N946.00016  
  -3.09243083000E+00  -3.68289995193E+00  N946.00017  
  -5.61305379868E+00  -4.47559976578E+00  N946.00018  
  -5.75410270691E+00  -3.59150004387E+00  N946.00019  
  -4.66686201096E+00  -3.31710004807E+00  N946.00020  
  -5.57399451733E-01  -2.03660011292E+00  N946.00021  
   3.44088363647E+01   6.57929992676E+00  N16963.00001
   3.96446952820E+01   6.79269981384E+00  N16963.00002
   3.87469902039E+01   6.85370016098E+00  N16963.00003
   3.78203506470E+01   6.79269981384E+00  N16963.00004
   4.04063377380E+01   6.76219987869E+00  N16963.00005
   3.66707534790E+01   6.73169994354E+00  N16963.00006
   3.22217216492E+01   6.67070007324E+00  N16963.00007
   2.91489906311E+01   6.51830005646E+00  N16963.00008
   2.80653915405E+01   2.03660011292E+00  N16963.00009
   2.67936229706E+01   6.51830005646E+00  N16963.00010
   2.59182014465E+01   6.36590003967E+00  N16963.00011
   2.96284160614E+01   6.51830005646E+00  N16963.00012
   3.84179077148E+01   6.54879999161E+00  N16963.00013
   4.25611877441E+01   6.60979986191E+00  N16963.00014
   4.29715194702E+01   6.27440023422E+00  N16963.00015
   3.80193061829E+01   6.54879999161E+00  N16963.00016
   4.02803688049E+01   6.51830005646E+00  N16963.00017
   3.71070861816E+01   6.27440023422E+00  N16963.00018
   3.29566345215E+01   6.39629983902E+00  N16963.00019
   3.06683597565E+01   6.39629983902E+00  N16963.00020
   2.97119770050E+01   6.45730018616E+00  N16963.00021
   2.83117179871E+01   2.89019989967E+00  N16963.00022
   3.26915931702E+01   6.36590003967E+00  N16963.00023
   2.27029113770E+01   1.82319998741E+00  N9580.00001 
   2.69151248932E+01  -2.50609993935E+00  N9580.00002 
   2.60225296021E+01  -2.38409996033E+00  N9580.00003 
   2.79660835266E+01  -1.92680001259E+00  N9580.00004 
   2.48864212036E+01  -2.07929992676E+00  N9580.00005 
   2.06592788696E+01  -3.78660011292E+00  N9580.00006 
   1.64060707092E+01  -2.84150004387E+00  N9580.00007 
   2.52159767151E+01  -2.50609993935E+00  N9580.00008 
   2.76426429749E+01  -1.92680001259E+00  N9580.00009 
   2.39671249390E+01  -1.53050005436E+00  N9580.00010 
   2.53292541504E+01  -1.77439999580E+00  N9580.00011 
   2.30868511200E+01  -2.38409996033E+00  N9580.00012 
   1.97782707214E+01  -3.05489993095E+00  N9580.00013 
   1.77962245941E+01  -3.08540010452E+00  N9580.00014 
   1.64743728638E+01  -2.87199997902E+00  N9580.00015 
   1.98603191376E+01  -2.26220011711E+00  N9580.00016 
   6.91932601929E+01   3.60914993286E+01  N5056.00001 
   7.21678695679E+01   3.65792999268E+01  N5056.00002 
   7.19479827881E+01   3.65792999268E+01  N5056.00003 
   7.54988861084E+01   3.65488014221E+01  N5056.00004 
   6.85977249146E+01   3.52378005981E+01  N5056.00005 
   6.60559692383E+01   3.58779983521E+01  N5056.00006 
   6.40872650146E+01   3.48720016479E+01  N5056.00007 
   6.33997917175E+01   3.58779983521E+01  N5056.00008 
   6.78620910645E+01   3.61220016479E+01  N5056.00009 
   7.34031906128E+01   3.58779983521E+01  N5056.00010 
   7.73428421021E+01   3.61524009705E+01  N5056.00011 
   7.64020614624E+01   3.57865982056E+01  N5056.00012 
