BEGIN Observation_Data Table
NROW=571 NCOL=3 COLUMNLABELS 
ObsName GroupName ObsValue
N14626.00009 Heads -7.54570007324
N14626.00010 Heads -7.30179977417
N14626.00011 Heads -7.02740001678
N14626.00012 Heads -7.08839988708
N14626.00013 Heads -7.17990016937
N14626.00014 Heads -7.57620000839
N14626.00015 Heads -8.46039962769
N946.00001 Heads -2.82929992676
N946.00002 Heads -2.46339988708
N946.00003 Heads -2.12800002098
N946.00004 Heads -5.05490016937
N946.00005 Heads -6.30490016937
N946.00006 Heads -6.60979986191
N946.00007 Heads -6.39629983902
N946.00008 Heads -4.53660011292
N946.00009 Heads -3.74390006065
N946.00010 Heads -3.5
N946.00011 Heads -3.19510006905
N946.00012 Heads -1.64020001888
N946.00013 Heads -1.18289995193
N946.00014 Heads -1.57930004597
N946.00015 Heads -4.23169994354
N946.00016 Heads -4.62799978256
N946.00017 Heads -3.68289995193
N946.00018 Heads -4.47559976578
N946.00019 Heads -3.59150004387
N946.00020 Heads -3.31710004807
N946.00021 Heads -2.03660011292
N16963.00001 Heads 6.57929992676
N16963.00002 Heads 6.79269981384
N16963.00003 Heads 6.85370016098
N16963.00004 Heads 6.79269981384
N16963.00005 Heads 6.76219987869
N16963.00006 Heads 6.73169994354
N16963.00007 Heads 6.67070007324
N16963.00008 Heads 6.51830005646
N16963.00009 Heads 2.03660011292
N16963.00010 Heads 6.51830005646
N16963.00011 Heads 6.36590003967
N16963.00012 Heads 6.51830005646
N16963.00013 Heads 6.54879999161
N16963.00014 Heads 6.60979986191
N16963.00015 Heads 6.27440023422
N16963.00016 Heads 6.54879999161
N16963.00017 Heads 6.51830005646
N16963.00018 Heads 6.27440023422
N16963.00019 Heads 6.39629983902
N16963.00020 Heads 6.39629983902
N16963.00021 Heads 6.45730018616
N16963.00022 Heads 2.89019989967
N16963.00023 Heads 6.36590003967
N9580.00001 Heads 1.82319998741
N9580.00002 Heads -2.50609993935
N9580.00003 Heads -2.38409996033
N9580.00004 Heads -1.92680001259
N9580.00005 Heads -2.07929992676
N9580.00006 Heads -3.78660011292
N9580.00007 Heads -2.84150004387
N9580.00008 Heads -2.50609993935
N9580.00009 Heads -1.92680001259
N9580.00010 Heads -1.53050005436
N9580.00011 Heads -1.7743999958
N9580.00012 Heads -2.38409996033
N9580.00013 Heads -3.05489993095
N9580.00014 Heads -3.08540010452
N9580.00015 Heads -2.87199997902
N9580.00016 Heads -2.26220011711
N5056.00001 Heads 36.0914993286
N5056.00002 Heads 36.5792999268
N5056.00003 Heads 36.5792999268
N5056.00004 Heads 36.5488014221
N5056.00005 Heads 35.2378005981
N5056.00006 Heads 35.8779983521
N5056.00007 Heads 34.8720016479
N5056.00008 Heads 35.8779983521
N5056.00009 Heads 36.1220016479
N5056.00010 Heads 35.8779983521
N5056.00011 Heads 36.1524009705
N5056.00012 Heads 35.7865982056
N5056.00013 Heads 34.8720016479
N5056.00014 Heads 32.0365982056
N5056.00015 Heads 33.7439002991
N5056.00016 Heads 34.811000824
N8437.00001 Heads -1.09759998322
N8437.00002 Heads -1.31099998951
N8437.00003 Heads -1.12800002098
N8437.00004 Heads -0.975600004196
N8437.00005 Heads -0.579299986362
N8437.00006 Heads -1.03659999371
N8437.00007 Heads -1.61590003967
N8437.00008 Heads -2.34759998322
N8437.00009 Heads -2.10369992256
N8437.00010 Heads -2.01220011711
N8437.00011 Heads -1.92069995403
N8437.00012 Heads -1.34150004387
N8437.00013 Heads -0.701200008392
N8437.00014 Heads -0.396299988031
N8437.00015 Heads 0.0
N8437.00016 Heads -0.182899996638
N8437.00017 Heads -0.304899990559
N8437.00018 Heads -0.945100009441
N8437.00019 Heads -1.58539998531
N8437.00020 Heads -1.58539998531
N8437.00021 Heads -1.34150004387
N8437.00022 Heads -1.49389994144
N8437.00023 Heads -0.670700013638
N183 Heads -3.92379999161
N16614.00001 Heads -13.0183000565
N16614.00002 Heads -12.9267997742
N16614.00003 Heads -12.8049001694
N16614.00004 Heads -12.6524000168
N16614.00005 Heads -13.4450998306
N16614.00006 Heads -13.8109998703
N16614.00007 Heads 9.08539962769
