layer,row,column,z,cond,rbot
1.0,48,171,26.24682148742673,1598.3474414725385,24.74682148742673
1.0,47,171,25.90266525472005,1386.5098780197134,24.40266525472005
1.0,47,170,25.64676272786458,1386.5098780197134,24.14676272786458
1.0,46,169,24.518263445899596,1941.1138292275991,23.018263445899596
1.0,46,168,24.40326917303176,1941.1138292275991,22.90326917303176
1.0,47,167,24.22561676996404,1596.8091132496663,22.72561676996404
1.0,48,166,24.150936279296864,1088.7334863065905,22.650936279296864
1.0,48,165,24.096936279296862,1257.322911360201,22.596936279296862
1.0,47,164,24.030936279296863,798.4045566248332,22.530936279296863
1.0,48,163,23.96793627929686,1377.067950537363,22.46793627929686
1.0,48,162,23.90193627929686,1257.322911360201,22.40193627929686
1.0,49,161,23.835936279296856,990.4189418911755,22.335936279296856
1.0,49,160,23.77143627929685,1037.581748647898,22.27143627929685
1.0,50,159,23.690436279296854,660.2792945941169,22.190436279296854
1.0,50,158,23.639436279296852,943.2561351344528,22.139436279296852
1.0,51,157,23.564436279296846,943.2561351344528,22.064436279296846
1.0,51,156,23.50743627929684,848.9305216210074,22.00743627929684
1.0,50,155,23.441436279296845,943.2561351344528,21.941436279296845
1.0,50,154,23.38143627929684,943.2561351344528,21.88143627929684
1.0,51,153,23.30643627929684,660.2792945941169,21.80643627929684
1.0,51,152,23.253936279296834,990.4189418911755,21.753936279296834
1.0,51,151,23.189436279296835,1037.581748647898,21.689436279296835
1.0,52,150,23.111436279296825,1226.2329756747886,21.611436279296825
1.0,52,149,23.040936279296822,1031.235197696615,21.540936279296822
1.0,52,148,22.980936279296827,933.0223217255087,21.480936279296827
1.0,53,147,22.926936279296818,736.5965697832963,21.426936279296818
1.0,52,147,22.878936279296827,834.8094457544025,21.378936279296827
1.0,51,146,22.80093627929682,1227.6609496388273,21.30093627929682
1.0,50,145,22.71993627929681,941.2728379621767,21.21993627929681
1.0,50,144,22.65243627929681,1075.7403862424878,21.15243627929681
1.0,50,143,22.584936279296812,941.2728379621767,21.084936279296812
1.0,50,142,22.52343627929681,896.4503218687397,21.02343627929681
1.0,50,141,22.460936279296806,941.2728379621767,20.960936279296806
1.0,49,140,22.262936279296788,1599.3308397233448,20.762936279296788
1.0,48,139,21.967936279296737,1427.9739640387006,20.467936279296737
1.0,47,138,21.707936279296696,1199.4981297925085,20.207936279296696
1.0,48,137,21.45293627929665,1370.8550054771524,19.95293627929665
1.0,49,136,21.162936279296606,1028.1412541078644,19.662936279296606
1.0,49,135,20.947936279296577,1427.9739640387006,19.447936279296577
1.0,50,134,20.707936279296536,1777.9227834924513,19.207936279296536
1.0,50,133,20.487936279296502,1623.3208023191946,18.987936279296502
1.0,50,132,20.327936279296477,850.3108964529115,18.827936279296477
1.0,49,131,20.072936279296435,1546.0198117325665,18.572936279296435
1.0,49,130,19.867936279296405,1623.3208023191946,18.367936279296405
1.0,49,129,19.652936279296373,1700.621792905823,18.152936279296373
1.0,48,128,19.362936279296324,1236.815849386053,17.862936279296324
1.0,47,128,19.172936279296295,1700.621792905823,17.672936279296295
1.0,46,127,18.942936279296262,1700.621792905823,17.442936279296262
1.0,46,126,18.727936279296223,1623.3208023191946,17.227936279296223
1.0,46,125,18.517936279296197,1623.3208023191946,17.017936279296197
1.0,46,124,18.30293627929616,1118.7382689374306,16.80293627929616
1.0,45,123,18.062936279296125,915.3313109488068,16.562936279296125
1.0,45,122,17.867936279296096,1067.8865294402747,16.367936279296096
1.0,45,121,17.647936279296058,1169.5900084345865,16.147936279296058
1.0,45,120,17.44356127929603,769.2019752955134,15.94356127929603
1.0,44,119,17.34043627929602,833.3021399034728,15.840436279296021
1.0,43,118,17.257936279296022,486.29504826769363,15.757936279296022
1.0,42,118,17.185936279296016,653.8930776993883,15.685936279296016
1.0,41,117,16.84306789652497,840.7196713277849,15.343067896524971
1.0,40,116,16.693706878662102,498.20424967572444,15.193706878662102
1.0,41,115,16.627706878662103,578.3294554356738,15.127706878662103
1.0,41,114,16.495212414550778,722.9118192945921,14.995212414550778
1.0,42,113,16.391926725214173,357.4990825136263,14.891926725214173
1.0,42,112,16.267444732666014,324.99916592147844,14.767444732666014
1.0,42,111,16.138692650204607,341.2491242175524,14.638692650204607
1.0,42,110,15.924510158192026,357.4990825136263,14.424510158192026
1.0,42,109,15.676844070033024,363.80736536381687,14.176844070033024
1.0,41,109,15.497787525377772,647.3878629743232,13.997787525377772
1.0,41,108,15.429220303126739,477.022635875817,13.929220303126739
1.0,41,107,15.36407744598388,783.6800446531279,13.86407744598388
1.0,42,106,15.283077445983876,440.39838965093617,13.783077445983876
1.0,41,105,14.598351119995115,681.4609083940243,13.098351119995115
1.0,41,104,14.19025588698614,829.652873106485,12.69025588698614
1.0,42,103,13.618769456651473,711.1310340912728,12.118769456651473
1.0,42,102,13.2685433466058,750.6383137630102,11.7685433466058
1.0,43,101,12.900678080125287,869.1601527782224,11.400678080125287
1.0,43,100,12.780080085754388,705.5381360654546,11.280080085754388
1.0,43,99,12.718580085754386,671.9410819670996,11.218580085754386
1.0,44,98,12.636080085754386,320.96453978761093,11.136080085754386
1.0,44,97,12.576080085754382,772.7322442621645,11.076080085754382
1.0,44,96,12.50858008575438,739.1351901638096,11.00858008575438
1.0,44,95,12.45308008575438,503.9558114753247,10.95308008575438
1.0,43,94,12.373580085754375,873.5234065572295,10.873580085754375
1.0,42,93,12.27908008575437,772.7322442621645,10.77908008575437
1.0,41,92,12.19958008575437,636.8763879612605,10.69958008575437
1.0,41,91,12.138080085754366,451.12077480589284,10.638080085754366
1.0,40,90,12.066080085754363,557.266839466103,10.566080085754363
1.0,40,89,12.000080085754359,610.3398717962081,10.500080085754359
1.0,40,88,11.932580085754358,583.8033556311555,10.432580085754358
1.0,40,87,11.869580085754356,530.7303233010504,10.369580085754356
1.0,40,86,11.808080085754355,557.266839466103,10.308080085754355
1.0,40,85,11.742080085754349,610.3398717962081,10.242080085754349
1.0,41,84,11.671580085754348,636.8763879612605,10.171580085754348
1.0,42,83,11.577080085754343,538.108188781917,10.077080085754343
1.0,42,82,11.515580085754342,512.4839893161113,10.015580085754342
1.0,42,81,11.391001543998698,614.9807871793336,9.891001543998698
1.0,41,80,11.255722900390618,691.8533855767504,9.755722900390618
1.0,40,79,11.16872290039062,691.8533855767504,9.66872290039062
1.0,39,78,11.086222900390617,461.2355903845002,9.586222900390617
1.0,39,77,10.783420507431023,512.4839893161113,9.283420507431023
1.0,39,76,10.336647628784176,538.108188781917,8.836647628784176
1.0,38,75,10.266147628784175,172.7979104405556,8.766147628784175
1.0,39,74,9.997656347365606,538.108188781917,8.497656347365606
1.0,39,73,9.907056312561028,512.4839893161113,8.407056312561028
1.0,39,72,9.847056312561026,512.4839893161113,8.347056312561026
1.0,39,71,9.772334233856196,512.4839893161113,8.272334233856196
1.0,39,70,9.603084865916856,563.7323882477225,8.103084865916856
1.0,39,69,9.511766075134275,486.8597898503058,8.011766075134275
1.0,40,68,9.44576607513427,538.108188781917,7.945766075134269
1.0,40,67,9.384266075134269,512.4839893161113,7.884266075134269
1.0,40,66,9.318266075134265,614.9807871793336,7.8182660751342645
1.0,41,65,9.240266075134262,512.4839893161113,7.740266075134262
1.0,41,64,9.17876607513426,538.108188781917,7.678766075134259
1.0,42,63,9.111266075134258,512.4839893161113,7.6112660751342585
1.0,42,62,8.934352237883058,538.108188781917,7.434352237883058
1.0,42,61,8.528260334559848,538.108188781917,7.028260334559848
1.0,41,60,8.329375732421873,461.2355903845002,6.829375732421873
1.0,41,59,8.272375732421871,512.4839893161113,6.772375732421871
1.0,41,58,8.212375732421869,512.4839893161113,6.712375732421869
1.0,41,57,8.14523239898681,563.7323882477225,6.64523239898681
1.0,41,56,8.077863937377927,538.108188781917,6.577863937377927
1.0,41,55,8.016363937377925,512.4839893161113,6.516363937377925
1.0,41,54,7.963863937377923,384.3629919870836,6.463863937377923
1.0,42,53,7.887363937377919,563.7323882477225,6.387363937377919
1.0,42,52,7.824363937377917,512.4839893161113,6.324363937377917
1.0,42,51,7.764363937377915,512.4839893161113,6.264363937377915
1.0,42,50,7.702863937377911,538.108188781917,6.202863937377911
1.0,42,49,7.653363937377911,307.4903935896668,6.153363937377911
1.0,43,49,7.609863937377908,435.61139091869467,6.109863937377908
1.0,43,48,7.551363937377906,563.7323882477225,6.051363937377906
1.0,43,47,7.486863937377903,538.108188781917,5.986863937377903
1.0,43,46,7.4223639373779,563.7323882477225,5.9223639373779
1.0,44,45,7.070111228269684,435.61139091869467,5.570111228269684
1.0,44,44,6.900128520965573,512.4839893161113,5.400128520965573
1.0,44,43,6.838628520965572,574.7595205255769,5.338628520965572
1.0,44,42,6.774128520965568,602.1290215029854,5.274128520965568
1.0,44,41,6.709628520965566,574.7595205255769,5.209628520965566
1.0,44,40,6.234546075820919,437.9120156385348,4.734546075820919
1.0,45,39,5.373183586120604,574.7595205255769,3.8731835861206036
1.0,45,38,5.310951747547495,602.1290215029854,3.810951747547495
1.0,46,37,5.222190704345699,602.1290215029854,3.7221907043456994
1.0,47,37,5.152465700037336,465.28151661594325,3.652465700037336
1.0,48,36,4.969120139312744,684.2375244352106,3.4691201393127438
1.0,49,35,4.713501841509784,738.9765263900275,3.2135018415097836
1.0,50,34,4.429307505094088,711.607025412619,2.929307505094088
1.0,51,33,4.191311317443847,656.8680234578022,2.691311317443847
1.0,52,32,4.091857112884519,383.17301368371795,2.5918571128845187
1.0,52,31,4.030357112884516,738.9765263900275,2.5303571128845164
1.0,53,30,3.964357112884514,465.28151661594325,2.464357112884514
1.0,52,29,3.824948549179802,574.7595205255769,2.324948549179802
1.0,52,28,3.753832885742185,574.7595205255769,2.253832885742185
1.0,52,27,3.504961434971201,602.1290215029854,2.004961434971201
1.0,52,26,3.232461165473574,574.7595205255769,1.7324611654735742
1.0,51,25,3.11562184193929,410.5425146611264,1.6156218419392898
1.0,52,24,2.934639063959536,629.4985224803938,1.434639063959536
1.0,53,23,2.759553442250126,629.4985224803938,1.2595534422501262
1.0,53,22,2.630209892636253,574.7595205255769,1.1302098926362532
1.0,53,21,2.524630594730376,547.3900195481685,1.0246305947303762
1.0,53,20,2.255199826649256,574.7595205255769,0.7551998266492559
1.0,53,19,2.038907096227009,574.7595205255769,0.538907096227009
1.0,53,18,1.837954302787782,574.7595205255769,0.33795430278778205
1.0,53,17,1.749854892594475,574.7595205255769,0.24985489259447502
1.0,53,16,1.587127288901289,629.4985224803938,0.08712728890128907
1.0,54,15,1.485645896911622,355.8035127063095,-0.014354103088378034
1.0,54,14,1.433145896911624,602.1290215029854,-0.06685410308837603
1.0,54,13,1.367145896911626,602.1290215029854,-0.1328541030883741
1.0,54,12,1.302645896911629,574.7595205255769,-0.19735410308837098
1.0,53,12,1.24864589691163,410.5425146611264,-0.2513541030883699
1.0,53,11,1.191645896911632,629.4985224803938,-0.3083541030883681
1.0,52,10,1.112145896911635,328.4340117289011,-0.3878541030883651
1.0,51,10,1.058145896911637,656.8680234578022,-0.4418541030883629
1.0,50,9,0.974145896911639,492.6510175933517,-0.525854103088361
1.0,49,9,0.924645896911639,410.5425146611264,-0.575354103088361
1.0,48,8,0.839145896911639,602.1290215029854,-0.660854103088361
1.0,47,7,0.759645896911639,629.4985224803938,-0.740354103088361
1.0,46,7,0.692145896911639,602.1290215029854,-0.807854103088361
1.0,45,7,0.624645896911639,629.4985224803938,-0.875354103088361
1.0,44,7,0.563145896911639,492.6510175933517,-0.936854103088361
1.0,43,6,0.485145896911639,656.8680234578022,-1.014854103088361
1.0,42,5,0.393645896911639,629.4985224803938,-1.106354103088361
1.0,41,4,0.309645896911639,629.4985224803938,-1.190354103088361
