,xs_num,dist_from_right_m,Easting,Northing,z_m
0,0,750.0,673247.6114066289,4261858.016346201,
1,0,760.0,673243.7031346222,4261867.220986875,
2,0,770.0,673239.7948626155,4261876.425627548,
3,0,780.0,673235.8865906087,4261885.630268221,
4,0,790.0,673231.9783186021,4261894.834908894,
5,0,800.0,673228.0700465954,4261904.039549568,
6,0,810.0,673224.1617745887,4261913.24419024,
7,0,820.0,673220.2535025821,4261922.448830914,
8,0,830.0,673216.3452305754,4261931.653471586,
9,0,840.0,673212.4369585688,4261940.85811226,
10,0,850.0,673208.5286865621,4261950.062752933,
11,0,860.0,673204.6204145554,4261959.267393606,
12,0,870.0,673200.7121425488,4261968.472034279,
13,0,880.0,673196.8038705421,4261977.676674953,
14,0,890.0,673192.8955985354,4261986.881315625,
15,0,900.0,673188.9873265288,4261996.085956299,
16,0,910.0,673185.0790545221,4262005.290596972,
17,0,920.0,673181.1707825154,4262014.495237645,
18,0,930.0,673177.2625105088,4262023.699878318,
19,0,940.0,673173.3542385021,4262032.904518992,
20,0,950.0,673169.4459664954,4262042.109159664,
21,0,960.0,673165.5376944888,4262051.313800338,
22,0,970.0,673161.6294224821,4262060.518441011,
23,0,980.0,673157.7211504754,4262069.723081684,
24,0,990.0,673153.8128784688,4262078.927722357,
25,0,1000.0,673149.904606462,4262088.132363031,
26,0,1010.0,673145.9963344553,4262097.337003703,
27,0,1020.0,673142.0880624487,4262106.541644377,
28,0,1030.0,673138.179790442,4262115.74628505,
29,0,1040.0,673134.2715184353,4262124.950925723,
30,0,1050.0,673130.3632464287,4262134.155566396,
31,0,1060.0,673126.454974422,4262143.36020707,
32,0,1070.0,673122.5467024153,4262152.564847742,
33,0,1080.0,673118.6384304087,4262161.769488416,
34,0,1090.0,673114.730158402,4262170.974129089,
35,0,1100.0,673110.8218863953,4262180.178769762,
36,0,1110.0,673106.9136143887,4262189.383410435,
37,0,1120.0,673103.005342382,4262198.588051109,
38,0,1130.0,673099.0970703753,4262207.792691781,
39,0,1140.0,673095.1887983687,4262216.997332455,
40,0,1150.0,673091.280526362,4262226.201973128,
41,0,1160.0,673087.3722543553,4262235.406613801,
42,0,1170.0,673083.4639823487,4262244.611254474,
43,0,1180.0,673079.555710342,4262253.815895147,
44,0,1190.0,673075.6474383353,4262263.02053582,
45,0,1200.0,673071.7391663287,4262272.225176494,
46,0,1210.0,673067.830894322,4262281.429817166,
47,0,1220.0,673063.9226223154,4262290.63445784,
48,0,1230.0,673060.0143503086,4262299.839098513,
49,0,1240.0,673056.1060783019,4262309.043739186,
50,0,1250.0,673052.1978062952,4262318.248379859,
51,0,1260.0,673048.2895342886,4262327.453020533,
52,0,1270.0,673044.3812622819,4262336.657661205,
53,0,1280.0,673040.4729902752,4262345.862301879,
54,0,1290.0,673036.5647182686,4262355.066942552,
55,0,1300.0,673032.6564462619,4262364.271583225,
56,0,1310.0,673028.7481742552,4262373.476223898,
57,0,1320.0,673024.8399022486,4262382.680864572,
58,0,1330.0,673020.9316302419,4262391.885505244,
59,0,1340.0,673017.0233582353,4262401.090145918,
60,0,1350.0,673013.1150862286,4262410.294786591,
61,0,1360.0,673009.2068142219,4262419.499427264,
62,0,1370.0,673005.2985422153,4262428.704067937,
63,0,1380.0,673001.3902702086,4262437.908708611,
64,0,1390.0,672997.4819982019,4262447.113349283,
65,0,1400.0,672993.5737261953,4262456.317989957,
66,0,1410.0,672989.6654541886,4262465.52263063,
67,0,1420.0,672985.7571821819,4262474.727271303,
68,0,1430.0,672981.8489101753,4262483.931911976,
69,0,1440.0,672977.9406381686,4262493.13655265,
70,0,1450.0,672974.0323661618,4262502.341193322,
71,0,1460.0,672970.1240941552,4262511.545833996,
72,0,1470.0,672966.2158221485,4262520.750474669,
73,0,1480.0,672962.3075501418,4262529.955115342,
74,0,1490.0,672958.3992781352,4262539.159756015,
75,0,1500.0,672954.4910061285,4262548.364396688,
76,0,1510.0,672950.5827341218,4262557.569037361,
77,0,1520.0,672946.6744621152,4262566.773678035,
78,0,1530.0,672942.7661901085,4262575.978318707,
79,0,1540.0,672938.8579181018,4262585.182959381,
80,0,1550.0,672934.9496460952,4262594.387600054,
81,0,1560.0,672931.0413740885,4262603.592240727,
82,0,1570.0,672927.1331020818,4262612.7968814,
83,0,1580.0,672923.2248300752,4262622.0015220735,
84,0,1590.0,672919.3165580685,4262631.206162746,
85,0,1600.0,672915.4082860618,4262640.41080342,
86,0,1610.0,672911.5000140552,4262649.615444093,
87,0,1620.0,672907.5917420485,4262658.820084766,
88,0,1630.0,672903.6834700418,4262668.024725439,
89,0,1640.0,672899.7751980352,4262677.2293661125,
90,0,1650.0,672895.8669260285,4262686.434006785,
91,0,1660.0,672891.9586540218,4262695.6386474585,
92,0,1670.0,672888.0503820151,4262704.843288132,
93,0,1680.0,672884.1421100084,4262714.0479288045,
94,0,1690.0,672880.2338380017,4262723.252569478,
95,0,1700.0,672876.3255659951,4262732.4572101515,
96,0,1710.0,672872.4172939884,4262741.661850824,
97,0,1720.0,672868.5090219817,4262750.8664914975,
98,0,1730.0,672864.6007499751,4262760.071132171,
99,0,1740.0,672860.6924779684,4262769.2757728435,
100,0,1750.0,672856.7842059617,4262778.480413517,
101,0,1760.0,672852.8759339551,4262787.68505419,
102,0,1770.0,672848.9676619484,4262796.889694863,
103,0,1780.0,672845.0593899417,4262806.0943355365,
104,0,1790.0,672841.1511179351,4262815.29897621,
105,0,1800.0,672837.2428459284,4262824.5036168825,
106,0,1810.0,672833.3345739217,4262833.708257556,
