0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
31.0,56.0,100.0,162.0,214.0,269.0,359.0,424.0,486.0,561.0,622.0,707.0,772.0,823.0,891.0,965.0,1049.0
33.0,66.0,143.0,241.0,310.0,378.0,493.0,561.0,622.0,696.0,764.0,851.0,928.0,1017.0,1116.0,1197.0,1276.0
36.0,76.0,133.0,218.0,282.0,336.0,433.0,492.0,548.0,628.0,694.0,766.0,830.0,900.0,983.0,1043.0,1104.0
26.0,65.0,116.0,192.0,262.0,326.0,434.0,505.0,564.0,664.0,719.0,804.0,870.0,928.0,997.0,1067.0,1137.0
22.0,54.0,98.0,181.0,239.0,302.0,364.0,418.0,471.0,558.0,638.0,735.0,793.0,864.0,954.0,1038.0,1124.0
31.0,64.0,122.0,203.0,247.0,293.0,378.0,437.0,496.0,566.0,627.0,705.0,768.0,856.0,956.0,1049.0,1114.0
36.0,83.0,142.0,225.0,276.0,336.0,423.0,474.0,533.0,600.0,667.0,733.0,786.0,857.0,913.0,969.0,1027.0
22.0,42.0,97.0,188.0,250.0,325.0,455.0,522.0,586.0,658.0,723.0,776.0,814.0,878.0,971.0,1050.0,1112.0
29.0,79.0,131.0,210.0,289.0,356.0,482.0,566.0,633.0,697.0,759.0,824.0,879.0,928.0,975.0,1030.0,1089.0
42.0,96.0,190.0,286.0,358.0,445.0,580.0,665.0,750.0,852.0,930.0,1022.0,1089.0,1158.0,1229.0,1282.0,1336.0
22.0,45.0,85.0,138.0,198.0,260.0,378.0,443.0,509.0,604.0,677.0,759.0,814.0,890.0,987.0,1062.0,1122.0
35.0,79.0,140.0,226.0,300.0,377.0,495.0,553.0,608.0,670.0,713.0,769.0,804.0,849.0,905.0,966.0,1041.0
40.0,75.0,130.0,213.0,263.0,318.0,428.0,486.0,537.0,595.0,648.0,719.0,785.0,845.0,931.0,997.0,1044.0
43.0,87.0,154.0,248.0,332.0,383.0,468.0,529.0,572.0,644.0,700.0,774.0,828.0,899.0,965.0,1038.0,1122.0
25.0,61.0,119.0,211.0,282.0,362.0,482.0,555.0,630.0,737.0,810.0,884.0,944.0,1005.0,1072.0,1137.0,1190.0
