0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
2.0,2.0,6.0,8.0,11.0,21.0,45.0,57.0,63.0,71.0,75.0,82.0,90.0,96.0,100.0,110.0,122.0
2.0,2.0,10.0,18.0,24.0,31.0,39.0,47.0,54.0,62.0,66.0,74.0,81.0,90.0,101.0,116.0,130.0
4.0,7.0,13.0,18.0,23.0,28.0,39.0,46.0,53.0,66.0,71.0,76.0,79.0,84.0,92.0,101.0,114.0
1.0,2.0,6.0,11.0,14.0,18.0,32.0,40.0,47.0,61.0,64.0,71.0,77.0,83.0,89.0,98.0,110.0
1.0,1.0,4.0,8.0,9.0,14.0,22.0,31.0,39.0,52.0,61.0,74.0,80.0,82.0,87.0,100.0,113.0
3.0,8.0,14.0,19.0,19.0,26.0,45.0,57.0,68.0,80.0,83.0,86.0,91.0,97.0,108.0,123.0,134.0
1.0,1.0,5.0,11.0,15.0,23.0,29.0,36.0,40.0,44.0,47.0,55.0,61.0,69.0,77.0,90.0,101.0
1.0,2.0,6.0,13.0,15.0,25.0,40.0,53.0,62.0,71.0,77.0,83.0,85.0,91.0,97.0,108.0,120.0
2.0,6.0,15.0,27.0,35.0,39.0,51.0,61.0,69.0,81.0,87.0,97.0,100.0,105.0,108.0,116.0,123.0
3.0,5.0,9.0,12.0,16.0,27.0,46.0,58.0,64.0,75.0,81.0,90.0,98.0,110.0,116.0,127.0,141.0
1.0,2.0,5.0,10.0,15.0,24.0,39.0,49.0,56.0,67.0,70.0,75.0,81.0,86.0,89.0,98.0,110.0
0.0,1.0,3.0,9.0,14.0,24.0,38.0,47.0,52.0,58.0,60.0,65.0,70.0,73.0,77.0,92.0,110.0
1.0,2.0,6.0,12.0,12.0,15.0,22.0,30.0,36.0,45.0,47.0,49.0,57.0,61.0,67.0,76.0,87.0
3.0,7.0,18.0,24.0,29.0,34.0,37.0,44.0,49.0,59.0,67.0,77.0,82.0,87.0,95.0,107.0,118.0
0.0,1.0,5.0,10.0,18.0,27.0,44.0,54.0,62.0,79.0,93.0,108.0,113.0,119.0,122.0,134.0,145.0
4.0,6.0,14.0,20.0,23.0,27.0,37.0,45.0,51.0,63.0,66.0,76.0,80.0,86.0,89.0,98.0,112.0
0.0,2.0,8.0,13.0,13.0,16.0,25.0,32.0,36.0,43.0,45.0,56.0,71.0,77.0,84.0,96.0,112.0
0.0,0.0,11.0,20.0,27.0,36.0,55.0,66.0,71.0,82.0,83.0,89.0,95.0,99.0,108.0,122.0,138.0
1.0,4.0,12.0,19.0,21.0,25.0,35.0,48.0,55.0,65.0,71.0,78.0,82.0,87.0,93.0,99.0,109.0
1.0,5.0,14.0,17.0,19.0,23.0,30.0,39.0,44.0,52.0,56.0,59.0,62.0,68.0,76.0,85.0,98.0
2.0,3.0,8.0,13.0,16.0,20.0,32.0,43.0,48.0,59.0,65.0,72.0,78.0,86.0,88.0,95.0,111.0
0.0,1.0,10.0,14.0,15.0,20.0,28.0,39.0,47.0,59.0,64.0,68.0,73.0,77.0,78.0,83.0,93.0
0.0,6.0,17.0,28.0,30.0,35.0,46.0,54.0,62.0,71.0,72.0,75.0,79.0,81.0,86.0,98.0,110.0
0.0,2.0,12.0,23.0,25.0,28.0,43.0,53.0,62.0,66.0,71.0,79.0,85.0,97.0,103.0,112.0,128.0
1.0,1.0,7.0,14.0,16.0,21.0,33.0,43.0,50.0,56.0,60.0,76.0,84.0,88.0,90.0,93.0,101.0
0.0,2.0,6.0,15.0,20.0,25.0,39.0,50.0,57.0,73.0,78.0,84.0,92.0,101.0,104.0,118.0,129.0
3.0,4.0,11.0,16.0,17.0,20.0,31.0,47.0,58.0,74.0,80.0,83.0,86.0,88.0,93.0,102.0,116.0
0.0,0.0,5.0,12.0,21.0,29.0,50.0,62.0,68.0,73.0,75.0,83.0,87.0,93.0,95.0,104.0,117.0
1.0,2.0,8.0,12.0,12.0,14.0,20.0,29.0,33.0,41.0,43.0,49.0,51.0,57.0,60.0,73.0,91.0
0.0,2.0,10.0,16.0,19.0,26.0,41.0,52.0,58.0,66.0,71.0,78.0,86.0,89.0,91.0,100.0,111.0
4.0,7.0,13.0,20.0,20.0,23.0,30.0,36.0,38.0,42.0,45.0,53.0,61.0,67.0,70.0,80.0,90.0
7.0,8.0,15.0,24.0,24.0,29.0,38.0,48.0,52.0,56.0,62.0,72.0,83.0,89.0,93.0,101.0,107.0
0.0,0.0,3.0,8.0,8.0,10.0,21.0,30.0,36.0,44.0,45.0,51.0,61.0,71.0,78.0,90.0,107.0
7.0,9.0,13.0,15.0,16.0,20.0,31.0,43.0,47.0,55.0,59.0,67.0,71.0,77.0,85.0,98.0,115.0
1.0,7.0,11.0,16.0,19.0,23.0,29.0,39.0,43.0,50.0,54.0,62.0,71.0,80.0,87.0,102.0,118.0
3.0,5.0,10.0,14.0,17.0,20.0,27.0,36.0,46.0,55.0,57.0,74.0,81.0,91.0,97.0,106.0,117.0
1.0,2.0,9.0,12.0,15.0,20.0,35.0,47.0,58.0,65.0,68.0,79.0,84.0,89.0,94.0,101.0,111.0
5.0,10.0,19.0,32.0,35.0,41.0,52.0,62.0,66.0,72.0,76.0,83.0,92.0,103.0,106.0,114.0,126.0
1.0,3.0,8.0,19.0,21.0,25.0,33.0,40.0,43.0,48.0,55.0,66.0,73.0,79.0,84.0,99.0,113.0
3.0,6.0,17.0,27.0,29.0,35.0,45.0,54.0,58.0,62.0,63.0,65.0,71.0,78.0,88.0,99.0,113.0
3.0,5.0,13.0,17.0,20.0,25.0,36.0,46.0,51.0,61.0,65.0,71.0,78.0,84.0,95.0,107.0,118.0
11.0,18.0,29.0,39.0,41.0,44.0,61.0,73.0,79.0,86.0,93.0,100.0,106.0,109.0,112.0,121.0,132.0
