0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
33.0,67.0,117.0,191.0,252.0,316.0,420.0,499.0,569.0,657.0,726.0,822.0,893.0,951.0,1029.0,1113.0,1214.0
35.0,73.0,158.0,272.0,351.0,429.0,556.0,631.0,701.0,784.0,864.0,962.0,1050.0,1154.0,1260.0,1347.0,1434.0
42.0,88.0,161.0,257.0,324.0,388.0,494.0,562.0,623.0,710.0,786.0,868.0,932.0,1018.0,1112.0,1182.0,1246.0
31.0,74.0,135.0,222.0,305.0,378.0,508.0,584.0,659.0,770.0,838.0,940.0,1019.0,1085.0,1167.0,1243.0,1325.0
26.0,62.0,114.0,214.0,283.0,355.0,428.0,487.0,547.0,643.0,732.0,844.0,909.0,990.0,1092.0,1183.0,1276.0
33.0,73.0,142.0,239.0,293.0,347.0,443.0,506.0,571.0,652.0,719.0,810.0,885.0,984.0,1101.0,1206.0,1281.0
42.0,95.0,158.0,255.0,316.0,389.0,491.0,550.0,612.0,693.0,765.0,838.0,898.0,976.0,1041.0,1104.0,1169.0
24.0,51.0,115.0,217.0,290.0,373.0,514.0,589.0,663.0,751.0,826.0,889.0,938.0,1011.0,1110.0,1200.0,1271.0
34.0,87.0,147.0,241.0,331.0,413.0,551.0,643.0,721.0,792.0,859.0,941.0,1004.0,1061.0,1125.0,1189.0,1259.0
48.0,113.0,217.0,334.0,423.0,521.0,676.0,778.0,875.0,991.0,1083.0,1184.0,1260.0,1336.0,1413.0,1470.0,1529.0
24.0,51.0,102.0,165.0,237.0,313.0,447.0,518.0,598.0,708.0,791.0,887.0,950.0,1036.0,1145.0,1228.0,1298.0
40.0,92.0,163.0,262.0,350.0,439.0,566.0,634.0,700.0,770.0,828.0,890.0,936.0,993.0,1059.0,1126.0,1205.0
43.0,86.0,154.0,252.0,310.0,372.0,503.0,568.0,624.0,686.0,748.0,825.0,901.0,969.0,1072.0,1145.0,1198.0
45.0,95.0,168.0,280.0,375.0,433.0,533.0,603.0,653.0,732.0,795.0,880.0,942.0,1022.0,1095.0,1179.0,1269.0
29.0,70.0,137.0,242.0,319.0,404.0,537.0,621.0,715.0,841.0,921.0,1009.0,1079.0,1147.0,1227.0,1300.0,1358.0
49.0,87.0,167.0,285.0,372.0,446.0,572.0,628.0,707.0,817.0,897.0,997.0,1074.0,1174.0,1277.0,1379.0,1472.0
47.0,107.0,172.0,274.0,341.0,416.0,506.0,557.0,611.0,681.0,746.0,818.0,883.0,952.0,1039.0,1117.0,1195.0
45.0,80.0,157.0,252.0,323.0,391.0,516.0,596.0,667.0,774.0,864.0,967.0,1036.0,1104.0,1184.0,1253.0,1324.0
26.0,55.0,124.0,207.0,260.0,329.0,442.0,515.0,594.0,693.0,767.0,826.0,876.0,933.0,998.0,1067.0,1152.0
42.0,81.0,165.0,260.0,328.0,403.0,503.0,585.0,668.0,780.0,849.0,923.0,979.0,1042.0,1109.0,1184.0,1260.0
34.0,71.0,133.0,228.0,287.0,347.0,475.0,549.0,623.0,716.0,802.0,911.0,987.0,1073.0,1162.0,1239.0,1324.0
31.0,74.0,141.0,236.0,300.0,362.0,449.0,510.0,565.0,653.0,723.0,801.0,850.0,915.0,973.0,1033.0,1089.0
41.0,91.0,180.0,299.0,382.0,459.0,576.0,641.0,716.0,786.0,838.0,892.0,936.0,1011.0,1083.0,1156.0,1225.0
44.0,97.0,179.0,304.0,390.0,457.0,571.0,650.0,727.0,832.0,921.0,1018.0,1088.0,1154.0,1226.0,1303.0,1388.0
32.0,76.0,159.0,262.0,320.0,388.0,493.0,553.0,607.0,687.0,774.0,866.0,935.0,1002.0,1079.0,1149.0,1223.0
45.0,95.0,172.0,307.0,380.0,449.0,561.0,644.0,723.0,819.0,907.0,991.0,1060.0,1150.0,1241.0,1322.0,1412.0
45.0,86.0,169.0,259.0,318.0,370.0,471.0,545.0,620.0,726.0,802.0,905.0,969.0,1018.0,1082.0,1136.0,1214.0
35.0,84.0,155.0,283.0,388.0,497.0,635.0,702.0,776.0,863.0,940.0,1038.0,1112.0,1186.0,1261.0,1333.0,1412.0
29.0,62.0,149.0,253.0,317.0,368.0,459.0,525.0,579.0,662.0,733.0,833.0,901.0,977.0,1085.0,1207.0,1309.0
31.0,75.0,157.0,280.0,355.0,432.0,562.0,638.0,703.0,797.0,861.0,939.0,1001.0,1072.0,1142.0,1217.0,1287.0
33.0,70.0,126.0,235.0,306.0,367.0,454.0,499.0,530.0,587.0,641.0,727.0,790.0,857.0,938.0,1001.0,1070.0
57.0,103.0,181.0,273.0,340.0,408.0,545.0,621.0,696.0,783.0,865.0,978.0,1058.0,1141.0,1223.0,1313.0,1402.0
35.0,82.0,138.0,236.0,310.0,390.0,488.0,559.0,623.0,730.0,817.0,907.0,969.0,1051.0,1131.0,1205.0,1297.0
43.0,97.0,178.0,292.0,374.0,432.0,547.0,622.0,691.0,771.0,829.0,902.0,966.0,1034.0,1127.0,1217.0,1309.0
35.0,90.0,165.0,270.0,330.0,384.0,462.0,523.0,596.0,697.0,786.0,874.0,941.0,1016.0,1123.0,1221.0,1287.0
28.0,95.0,152.0,236.0,284.0,329.0,422.0,485.0,556.0,639.0,713.0,816.0,880.0,950.0,1023.0,1102.0,1174.0
31.0,71.0,150.0,237.0,306.0,370.0,479.0,562.0,651.0,766.0,872.0,979.0,1060.0,1133.0,1215.0,1290.0,1381.0
35.0,79.0,166.0,273.0,367.0,451.0,573.0,639.0,732.0,838.0,922.0,1020.0,1095.0,1167.0,1257.0,1321.0,1395.0
51.0,116.0,189.0,282.0,345.0,411.0,513.0,569.0,626.0,703.0,778.0,881.0,948.0,1031.0,1135.0,1217.0,1300.0
48.0,94.0,187.0,283.0,357.0,425.0,570.0,640.0,708.0,786.0,847.0,901.0,955.0,1043.0,1134.0,1221.0,1279.0
35.0,82.0,167.0,267.0,340.0,400.0,509.0,571.0,640.0,726.0,809.0,916.0,989.0,1067.0,1147.0,1235.0,1332.0
77.0,153.0,279.0,428.0,510.0,596.0,730.0,805.0,894.0,1002.0,1073.0,1145.0,1196.0,1255.0,1322.0,1398.0,1455.0
50.0,108.0,194.0,268.0,322.0,372.0,470.0,534.0,602.0,712.0,812.0,908.0,969.0,1050.0,1146.0,1229.0,1306.0
36.0,70.0,138.0,239.0,309.0,372.0,483.0,549.0,621.0,721.0,797.0,862.0,925.0,991.0,1061.0,1153.0,1242.0
40.0,105.0,183.0,288.0,374.0,444.0,537.0,586.0,653.0,736.0,789.0,865.0,941.0,1026.0,1132.0,1225.0,1317.0
28.0,64.0,133.0,202.0,260.0,307.0,413.0,466.0,521.0,590.0,657.0,726.0,777.0,840.0,924.0,983.0,1056.0
33.0,72.0,149.0,261.0,339.0,412.0,505.0,557.0,621.0,700.0,759.0,819.0,865.0,926.0,994.0,1074.0,1145.0
44.0,103.0,180.0,296.0,384.0,449.0,545.0,612.0,684.0,779.0,850.0,920.0,1003.0,1101.0,1208.0,1298.0,1373.0
35.0,75.0,165.0,293.0,382.0,468.0,583.0,668.0,753.0,846.0,936.0,1033.0,1109.0,1198.0,1271.0,1341.0,1402.0
42.0,87.0,169.0,284.0,357.0,427.0,536.0,604.0,664.0,751.0,811.0,907.0,975.0,1074.0,1165.0,1238.0,1333.0
37.0,71.0,147.0,254.0,348.0,453.0,569.0,635.0,703.0,789.0,851.0,921.0,988.0,1057.0,1119.0,1187.0,1275.0
49.0,105.0,183.0,273.0,347.0,421.0,534.0,608.0,684.0,812.0,915.0,1042.0,1137.0,1231.0,1307.0,1370.0,1437.0
31.0,70.0,137.0,214.0,273.0,323.0,413.0,464.0,529.0,621.0,702.0,801.0,866.0,949.0,1045.0,1134.0,1219.0
21.0,53.0,111.0,201.0,273.0,342.0,467.0,536.0,597.0,680.0,753.0,848.0,921.0,1003.0,1094.0,1170.0,1241.0
36.0,93.0,175.0,307.0,397.0,463.0,555.0,608.0,666.0,765.0,842.0,941.0,1017.0,1110.0,1199.0,1299.0,1386.0
15.0,39.0,119.0,198.0,253.0,302.0,403.0,472.0,544.0,639.0,713.0,806.0,877.0,978.0,1091.0,1186.0,1267.0
29.0,67.0,147.0,266.0,352.0,437.0,564.0,628.0,697.0,796.0,881.0,971.0,1032.0,1111.0,1201.0,1278.0,1358.0
29.0,70.0,144.0,257.0,330.0,406.0,502.0,557.0,621.0,724.0,791.0,855.0,918.0,998.0,1071.0,1146.0,1217.0
36.0,72.0,142.0,233.0,299.0,353.0,460.0,520.0,585.0,671.0,741.0,802.0,849.0,905.0,980.0,1065.0,1154.0
46.0,94.0,160.0,265.0,338.0,397.0,499.0,560.0,620.0,705.0,774.0,854.0,910.0,980.0,1078.0,1174.0,1265.0
49.0,92.0,158.0,239.0,308.0,386.0,502.0,579.0,653.0,753.0,846.0,954.0,1043.0,1160.0,1257.0,1330.0,1412.0
46.0,105.0,184.0,307.0,389.0,460.0,552.0,602.0,657.0,754.0,839.0,942.0,1016.0,1097.0,1207.0,1299.0,1398.0
28.0,57.0,115.0,182.0,235.0,289.0,397.0,454.0,536.0,657.0,754.0,858.0,946.0,1039.0,1129.0,1208.0,1281.0
48.0,96.0,194.0,342.0,423.0,494.0,603.0,690.0,776.0,899.0,970.0,1058.0,1114.0,1195.0,1276.0,1346.0,1406.0
28.0,76.0,152.0,262.0,342.0,434.0,554.0,631.0,710.0,822.0,899.0,1007.0,1084.0,1173.0,1246.0,1318.0,1389.0
52.0,109.0,205.0,312.0,395.0,479.0,602.0,666.0,727.0,803.0,879.0,980.0,1064.0,1144.0,1253.0,1370.0,1487.0
49.0,102.0,188.0,312.0,393.0,461.0,581.0,648.0,730.0,839.0,909.0,1009.0,1078.0,1161.0,1254.0,1331.0,1399.0
29.0,74.0,149.0,280.0,389.0,484.0,601.0,678.0,743.0,834.0,897.0,984.0,1043.0,1128.0,1223.0,1308.0,1401.0
45.0,96.0,165.0,275.0,360.0,432.0,548.0,615.0,691.0,763.0,832.0,901.0,957.0,1027.0,1094.0,1173.0,1264.0
28.0,67.0,140.0,231.0,304.0,377.0,496.0,576.0,652.0,764.0,833.0,914.0,964.0,1030.0,1103.0,1202.0,1294.0
20.0,54.0,108.0,192.0,265.0,357.0,521.0,605.0,688.0,790.0,865.0,927.0,982.0,1066.0,1155.0,1242.0,1317.0
43.0,92.0,182.0,315.0,399.0,465.0,557.0,622.0,684.0,763.0,826.0,915.0,976.0,1044.0,1143.0,1223.0,1299.0
23.0,49.0,113.0,214.0,281.0,364.0,486.0,550.0,597.0,668.0,743.0,828.0,890.0,958.0,1044.0,1131.0,1217.0
27.0,67.0,140.0,243.0,317.0,367.0,446.0,490.0,535.0,604.0,666.0,736.0,806.0,879.0,958.0,1048.0,1146.0
48.0,96.0,188.0,286.0,344.0,406.0,518.0,574.0,638.0,715.0,789.0,896.0,964.0,1034.0,1126.0,1174.0,1223.0
46.0,100.0,180.0,314.0,398.0,465.0,577.0,643.0,714.0,820.0,914.0,1006.0,1074.0,1145.0,1209.0,1285.0,1375.0
43.0,82.0,146.0,237.0,293.0,340.0,444.0,524.0,619.0,703.0,754.0,819.0,882.0,978.0,1073.0,1136.0,1203.0
29.0,71.0,143.0,230.0,295.0,363.0,475.0,552.0,628.0,725.0,818.0,911.0,992.0,1081.0,1173.0,1262.0,1340.0
33.0,81.0,168.0,275.0,383.0,465.0,579.0,660.0,760.0,874.0,958.0,1060.0,1141.0,1223.0,1311.0,1389.0,1478.0
61.0,120.0,214.0,293.0,358.0,420.0,505.0,570.0,642.0,757.0,823.0,905.0,954.0,1013.0,1065.0,1129.0,1201.0
52.0,92.0,168.0,258.0,330.0,397.0,512.0,603.0,676.0,756.0,822.0,922.0,995.0,1072.0,1156.0,1240.0,1317.0
23.0,47.0,111.0,191.0,273.0,348.0,476.0,562.0,626.0,715.0,782.0,864.0,926.0,999.0,1071.0,1153.0,1226.0
29.0,81.0,152.0,248.0,325.0,394.0,502.0,575.0,650.0,746.0,832.0,910.0,968.0,1044.0,1141.0,1227.0,1301.0
38.0,80.0,156.0,252.0,335.0,416.0,525.0,598.0,664.0,748.0,815.0,890.0,954.0,1032.0,1103.0,1186.0,1262.0
25.0,72.0,142.0,239.0,326.0,397.0,512.0,586.0,659.0,754.0,821.0,908.0,965.0,1019.0,1097.0,1170.0,1238.0
34.0,74.0,148.0,238.0,312.0,384.0,476.0,536.0,608.0,683.0,752.0,826.0,882.0,954.0,1023.0,1092.0,1166.0
35.0,81.0,143.0,227.0,306.0,391.0,526.0,621.0,734.0,848.0,939.0,1022.0,1085.0,1161.0,1231.0,1328.0,1425.0
44.0,95.0,190.0,282.0,347.0,419.0,537.0,620.0,710.0,821.0,917.0,1010.0,1075.0,1149.0,1227.0,1287.0,1349.0
45.0,106.0,194.0,342.0,430.0,505.0,598.0,661.0,719.0,783.0,846.0,946.0,1007.0,1082.0,1162.0,1234.0,1318.0
27.0,74.0,124.0,217.0,277.0,343.0,443.0,502.0,555.0,635.0,700.0,795.0,863.0,958.0,1043.0,1127.0,1211.0
34.0,75.0,156.0,265.0,336.0,403.0,505.0,579.0,656.0,770.0,848.0,924.0,973.0,1025.0,1096.0,1170.0,1238.0
30.0,67.0,137.0,247.0,313.0,377.0,486.0,579.0,654.0,763.0,852.0,948.0,1023.0,1105.0,1211.0,1318.0,1402.0
42.0,97.0,182.0,295.0,377.0,464.0,609.0,691.0,758.0,845.0,932.0,1032.0,1104.0,1169.0,1241.0,1319.0,1405.0
35.0,74.0,142.0,220.0,285.0,348.0,457.0,506.0,571.0,646.0,739.0,828.0,916.0,986.0,1071.0,1133.0,1207.0
26.0,71.0,135.0,223.0,293.0,363.0,438.0,488.0,558.0,664.0,735.0,803.0,860.0,910.0,951.0,1009.0,1093.0
44.0,91.0,180.0,284.0,366.0,436.0,556.0,628.0,683.0,775.0,848.0,948.0,1022.0,1112.0,1185.0,1252.0,1325.0
36.0,74.0,136.0,231.0,299.0,366.0,481.0,558.0,625.0,716.0,777.0,856.0,904.0,988.0,1077.0,1139.0,1198.0
40.0,79.0,150.0,248.0,311.0,374.0,464.0,545.0,625.0,716.0,802.0,901.0,975.0,1059.0,1136.0,1193.0,1250.0
42.0,89.0,188.0,323.0,425.0,518.0,674.0,779.0,871.0,991.0,1092.0,1224.0,1305.0,1393.0,1474.0,1561.0,1629.0
42.0,97.0,180.0,292.0,378.0,444.0,539.0,600.0,655.0,733.0,810.0,882.0,950.0,1037.0,1129.0,1209.0,1286.0
